timestep,location,flow,occupy,speed
4816,18,3,0,0
4816,19,51,0,0
4816,20,21,0,0
4816,21,9,0,0
4816,22,16,0,0
4816,23,3,0,0
4816,24,20,0,0
4816,25,13,0,0
4816,26,16,0,0
4816,27,7,0,0
4816,28,3,0,0
4816,29,3,0,0
4816,30,0,0,0
4816,31,37,0,0
4816,32,23,0,0
4816,33,5,0,0
4816,34,29,0,0
4816,35,40,0,0
4816,36,2,0,0
4816,37,2,0,0
4816,38,13,0,0
4816,39,5,0,0
4816,40,13,0,0
4816,41,0,0,0
4816,42,9,0,0
4816,43,2,0,0
4816,44,10,0,0
4816,45,16,0,0
4816,46,5,0,0
5117,0,95,0,0
5117,1,14,0,0
5117,2,78,0,0
5117,3,15,0,0
5117,4,101,0,0
5117,5,57,0,0
5117,6,23,0,0
5117,7,33,0,0
5117,8,54,0,0
5117,9,0,0,0
5117,10,4,0,0
5117,11,8,0,0
5117,12,43,0,0
5117,13,45,0,0
5117,14,4,0,0
5117,15,2,0,0
5117,16,4,0,0
5117,17,8,0,0
5117,18,9,0,0
5117,19,67,0,0
5117,20,11,0,0
5117,21,9,0,0
5117,22,20,0,0
5117,23,6,0,0
5117,24,4,0,0
5117,25,12,0,0
5117,26,9,0,0
5117,27,10,0,0
5117,28,25,0,0
5117,29,35,0,0
5117,30,4,0,0
5117,31,158,0,0
5117,32,20,0,0
5117,33,11,0,0
5117,34,39,0,0
5117,35,51,0,0
5117,36,4,0,0
5117,37,2,0,0
5117,38,15,0,0
5117,39,2,0,0
5117,40,22,0,0
5117,41,0,0,0
5117,42,4,0,0
5117,43,7,0,0
5117,44,13,0,0
5117,45,17,0,0
5117,46,5,0,0
5418,0,27,0,0
5418,1,11,0,0
5418,2,2,0,0
5418,3,28,0,0
5418,4,97,0,0
5418,5,37,0,0
5418,6,26,0,0
5418,7,37,0,0
5418,8,59,0,0
5418,9,7,0,0
5418,10,27,0,0
5418,11,28,0,0
5418,12,36,0,0
5418,13,42,0,0
5418,14,3,0,0
5418,15,3,0,0
5418,16,7,0,0
5418,17,16,0,0
5418,18,8,0,0
5418,19,61,0,0
5418,20,27,0,0
5418,21,12,0,0
5418,22,20,0,0
5418,23,7,0,0
5418,24,27,0,0
5418,25,19,0,0
5418,26,17,0,0
5418,27,15,0,0
5418,28,53,0,0
5418,29,53,0,0
5418,30,9,0,0
5418,31,139,0,0
5418,32,40,0,0
5418,33,23,0,0
5418,34,44,0,0
5418,35,73,0,0
5418,36,10,0,0
5418,37,9,0,0
5418,38,22,0,0
5418,39,5,0,0
5418,40,18,0,0
5418,41,1,0,0
5418,42,12,0,0
5418,43,9,0,0
5418,44,18,0,0
5418,45,17,0,0
5418,46,2,0,0
5719,0,4,0,0
5719,1,4,0,0
5719,2,1,0,0
5719,3,11,0,0
5719,4,32,0,0
5719,5,23,0,0
5719,6,17,0,0
5719,7,17,0,0
5719,8,27,0,0
5719,9,1,0,0
5719,10,20,0,0
5719,11,21,0,0
5719,12,21,0,0
5719,13,23,0,0
5719,14,4,0,0
5719,15,6,0,0
5719,16,11,0,0
5719,17,14,0,0
5719,18,7,0,0
5719,19,70,0,0
5719,20,19,0,0
5719,21,5,0,0
5719,22,8,0,0
5719,23,9,0,0
5719,24,24,0,0
5719,25,24,0,0
5719,26,14,0,0
5719,27,19,0,0
5719,28,24,0,0
5719,29,25,0,0
5719,30,0,0,0
5719,31,34,0,0
5719,32,24,0,0
5719,33,7,0,0
5719,34,37,0,0
5719,35,62,0,0
5719,36,3,0,0
5719,37,3,0,0
5719,38,14,0,0
5719,39,5,0,0
5719,40,21,0,0
5719,41,0,0,0
5719,42,21,0,0
5719,43,9,0,0
5719,44,10,0,0
5719,45,16,0,0
5719,46,3,0,0
6020,0,3,0,0
6020,1,9,0,0
6020,2,4,0,0
6020,3,32,0,0
6020,4,28,0,0
6020,5,43,0,0
6020,6,24,0,0
6020,7,37,0,0
6020,8,35,0,0
6020,9,13,0,0
6020,10,29,0,0
6020,11,29,0,0
6020,12,15,0,0
6020,13,28,0,0
6020,14,3,0,0
6020,15,2,0,0
6020,16,13,0,0
6020,17,1,0,0
6020,18,3,0,0
6020,19,26,0,0
6020,20,16,0,0
6020,21,5,0,0
6020,22,7,0,0
6020,23,8,0,0
6020,24,14,0,0
6020,25,9,0,0
6020,26,18,0,0
6020,27,5,0,0
6020,28,5,0,0
6020,29,5,0,0
6020,30,0,0,0
6020,31,40,0,0
6020,32,13,0,0
6020,33,3,0,0
6020,34,32,0,0
6020,35,1,0,0
6020,36,6,0,0
6020,37,2,0,0
6020,38,16,0,0
6020,39,2,0,0
6020,40,18,0,0
6020,41,0,0,0
6020,42,5,0,0
6020,43,3,0,0
6020,44,17,0,0
6020,45,0,0,0
6020,46,12,0,0
6321,0,5,0,0
6321,1,10,0,0
6321,2,1,0,0
6321,3,6,0,0
6321,4,90,0,0
6321,5,42,0,0
6321,6,4,0,0
6321,7,24,0,0
6321,8,16,0,0
6321,9,4,0,0
6321,10,6,0,0
6321,11,11,0,0
6321,12,35,0,0
6321,13,39,0,0
6321,14,10,0,0
6321,15,4,0,0
6321,16,18,0,0
6321,17,0,0,0
6321,18,0,0,0
6321,19,5,0,0
6321,20,13,0,0
6321,21,5,0,0
6321,22,0,0,0
6321,23,8,0,0
6321,24,13,0,0
6321,25,23,0,0
6321,26,6,0,0
6321,27,10,0,0
6321,28,63,0,0
6321,29,56,0,0
6321,30,7,0,0
6321,31,8,0,0
6321,32,30,0,0
6321,33,14,0,0
6321,34,20,0,0
6321,35,13,0,0
6321,36,5,0,0
6321,37,10,0,0
6321,38,25,0,0
6321,39,7,0,0
6321,40,2,0,0
6321,41,2,0,0
6321,42,12,0,0
6321,43,20,0,0
6321,44,19,0,0
6321,45,0,0,0
6321,46,11,0,0
6622,0,1,0,0
6622,1,9,0,0
6622,2,1,0,0
6622,3,1,0,0
6622,4,75,0,0
6622,5,77,0,0
6622,6,0,0,0
6622,7,56,0,0
6622,8,6,0,0
6622,9,0,0,0
6622,10,6,0,0
6622,11,2,0,0
6622,12,24,0,0
6622,13,24,0,0
6622,14,17,0,0
6622,15,4,0,0
6622,16,19,0,0
6622,17,0,0,0
6622,18,9,0,0
6622,19,7,0,0
6622,20,8,0,0
6622,21,0,0,0
6622,22,0,0,0
6622,23,17,0,0
6622,24,10,0,0
6622,25,10,0,0
6622,26,15,0,0
6622,27,4,0,0
6622,28,28,0,0
6622,29,34,0,0
6622,30,2,0,0
6622,31,0,0,0
6622,32,11,0,0
6622,33,1,0,0
6622,34,5,0,0
6622,35,5,0,0
6622,36,7,0,0
6622,37,8,0,0
6622,38,14,0,0
6622,39,11,0,0
6622,40,4,0,0
6622,41,3,0,0
6622,42,22,0,0
6622,43,9,0,0
6622,44,6,0,0
6622,45,0,0,0
6622,46,6,0,0
6923,0,12,0,0
6923,1,16,0,0
6923,2,2,0,0
6923,3,6,0,0
6923,4,127,0,0
6923,5,78,0,0
6923,6,0,0,0
6923,7,59,0,0
6923,8,5,0,0
6923,9,0,0,0
6923,10,3,0,0
6923,11,4,0,0
6923,12,23,0,0
6923,13,23,0,0
6923,14,3,0,0
6923,15,2,0,0
6923,16,7,0,0
6923,17,0,0,0
6923,18,1,0,0
6923,19,1,0,0
6923,20,5,0,0
6923,21,0,0,0
6923,22,0,0,0
6923,23,8,0,0
6923,24,4,0,0
6923,25,7,0,0
6923,26,12,0,0
6923,27,14,0,0
6923,28,49,0,0
6923,29,52,0,0
6923,30,6,0,0
6923,31,10,0,0
6923,32,23,0,0
6923,33,19,0,0
6923,34,1,0,0
6923,35,33,0,0
6923,36,0,0,0
6923,37,7,0,0
6923,38,2,0,0
6923,39,2,0,0
6923,40,1,0,0
6923,41,0,0,0
6923,42,4,0,0
6923,43,7,0,0
6923,44,1,0,0
6923,45,0,0,0
6923,46,1,0,0
7224,0,35,0,0
7224,1,10,0,0
7224,2,14,0,0
7224,3,18,0,0
7224,4,129,0,0
7224,5,34,0,0
7224,6,0,0,0
7224,7,17,0,0
7224,8,8,0,0
7224,9,0,0,0
7224,10,6,0,0
7224,11,8,0,0
7224,12,18,0,0
7224,13,17,0,0
7224,14,4,0,0
7224,15,5,0,0
7224,16,9,0,0
7224,17,0,0,0
7224,18,0,0,0
7224,19,6,0,0
7224,20,1,0,0
7224,21,0,0,0
7224,22,0,0,0
7224,23,8,0,0
7224,24,1,0,0
7224,25,24,0,0
7224,26,33,0,0
7224,27,22,0,0
7224,28,90,0,0
7224,29,83,0,0
7224,30,12,0,0
7224,31,121,0,0
7224,32,40,0,0
7224,33,24,0,0
7224,34,1,0,0
7224,35,30,0,0
7224,36,2,0,0
7224,37,19,0,0
7224,38,12,0,0
7224,39,12,0,0
7224,40,1,0,0
7224,41,5,0,0
7224,42,19,0,0
7224,43,29,0,0
7224,44,0,0,0
7224,45,0,0,0
7224,46,7,0,0
7525,0,20,0,0
7525,1,14,0,0
7525,2,37,0,0
7525,3,27,0,0
7525,4,73,0,0
7525,5,68,0,0
7525,6,0,0,0
7525,7,54,0,0
7525,8,23,0,0
7525,9,1,0,0
7525,10,26,0,0
7525,11,27,0,0
7525,12,16,0,0
7525,13,18,0,0
7525,14,4,0,0
7525,15,3,0,0
7525,16,3,0,0
7525,17,0,0,0
7525,18,2,0,0
7525,19,7,0,0
7525,20,2,0,0
7525,21,0,0,0
7525,22,0,0,0
7525,23,3,0,0
7525,24,0,0,0
7525,25,16,0,0
7525,26,21,0,0
7525,27,12,0,0
7525,28,18,0,0
7525,29,40,0,0
7525,30,5,0,0
7525,31,112,0,0
7525,32,36,0,0
7525,33,22,0,0
7525,34,8,0,0
