timestep,location,flow,occupy,speed
6020,20,18,1,1
6321,2,5,1,1
6321,3,111,1,1
6321,4,52,1,1
6321,5,39,1,1
6321,6,13,1,1
6321,7,18,1,1
6321,8,4,1,1
6321,9,5,1,1
6321,10,30,1,1
6321,11,73,1,1
6321,12,56,1,1
6321,13,15,1,1
6321,14,20,1,1
6321,15,27,1,1
6321,16,37,1,1
6321,17,20,1,1
6321,18,24,1,1
6321,19,10,1,1
6321,20,4,1,1
6622,2,1,1,1
6622,3,86,1,1
6622,4,83,1,1
6622,5,24,1,1
6622,6,8,1,1
6622,7,34,1,1
6622,8,4,1,1
6622,9,16,1,1
6622,10,11,1,1
6622,11,32,1,1
6622,12,34,1,1
6622,13,2,1,1
6622,14,16,1,1
6622,15,16,1,1
6622,16,36,1,1
6622,17,9,1,1
6622,18,11,1,1
6622,19,8,1,1
6622,20,7,1,1
6923,2,12,1,1
6923,3,147,1,1
6923,4,81,1,1
6923,5,23,1,1
6923,6,5,1,1
6923,7,11,1,1
6923,8,2,1,1
6923,9,2,1,1
6923,10,23,1,1
6923,11,63,1,1
6923,12,52,1,1
6923,13,16,1,1
6923,14,31,1,1
6923,15,3,1,1
6923,16,6,1,1
6923,17,7,1,1
6923,18,34,1,1
6923,19,7,1,1
6923,20,1,1,1
7224,2,35,1,1
7224,3,147,1,1
7224,4,40,1,1
7224,5,18,1,1
7224,6,1,1,1
7224,7,12,1,1
7224,8,5,1,1
7224,9,6,1,1
7224,10,40,1,1
7224,11,112,1,1
7224,12,83,1,1
7224,13,133,1,1
7224,14,57,1,1
7224,15,13,1,1
7224,16,31,1,1
7224,17,29,1,1
7224,18,37,1,1
7224,19,19,1,1
7224,20,6,1,1
7525,2,20,1,1
7525,3,114,1,1
7525,4,94,1,1
7525,5,17,1,1
7525,6,2,1,1
7525,7,7,1,1
7525,8,3,1,1
7525,9,9,1,1
7525,10,36,1,1
7525,11,30,1,1
7525,12,40,1,1
7525,13,117,1,1
7525,14,43,1,1
7525,15,15,1,1
7525,16,28,1,1
7525,17,11,1,1
7525,18,40,1,1
7525,19,8,1,1
7525,20,7,1,1
7826,2,51,1,1
7826,3,125,1,1
7826,4,95,1,1
7826,5,22,1,1
7826,6,2,1,1
7826,7,11,1,1
7826,8,4,1,1
7826,9,7,1,1
7826,10,38,1,1
7826,11,97,1,1
7826,12,53,1,1
7826,13,60,1,1
7826,14,34,1,1
7826,15,14,1,1
7826,16,29,1,1
7826,17,20,1,1
7826,18,29,1,1
7826,19,8,1,1
7826,20,6,1,1
8127,2,2,1,1
8127,3,9,1,1
8127,4,33,1,1
8127,5,9,1,1
8127,6,0,1,1
8127,7,10,1,1
8127,8,4,1,1
8127,9,5,1,1
8127,10,20,1,1
8127,11,32,1,1
8127,12,17,1,1
8127,13,27,1,1
8127,14,18,1,1
8127,15,12,1,1
8127,16,13,1,1
8127,17,9,1,1
8127,18,12,1,1
8127,19,5,1,1
8127,20,4,1,1
8428,2,8,1,1
8428,3,118,1,1
8428,4,56,1,1
8428,5,20,1,1
8428,6,1,1,1
8428,7,6,1,1
8428,8,7,1,1
8428,9,6,1,1
8428,10,28,1,1
8428,11,41,1,1
8428,12,41,1,1
8428,13,10,1,1
8428,14,17,1,1
8428,15,17,1,1
8428,16,21,1,1
8428,17,7,1,1
8428,18,29,1,1
